"variable","vif"
"n_transfers",1.51206537289373
"walk_share",1.21562113687355
"daily_departures",1.12122729005514
"dist_to_stop_m",1.15530665875306
"origin_dist_centre_km",1.90171883610277
"dest_dist_centre_km",1.33722393316771
"origin_working_age_pop",1.09484943229499
"nearest_stop_is_rail",1.39660799148383
"car_directness",1.36594553697781
