"from_id","from_lon","from_lat","Intercept","n_transfers","walk_share","daily_departures","dist_to_stop_m","origin_dist_centre_km","dest_dist_centre_km","origin_working_age_pop","nearest_stop_is_rail","car_directness"
189,17.0643953996346,52.3795598966312,2.92239190155999,0.113483852750417,-0.0158649891642426,-0.216928641705948,0.000739055129566568,-0.0581694808567539,-0.0360182039003334,-0.000333055104368409,0.146488527821571,-0.152265588460637
226,17.0936926056301,52.3818350544345,3.29092527851981,0.0598090542808105,-0.0575494374894276,-0.237985203223595,0.000709885975040306,-0.0609465670872371,-0.0562415921108226,-0.000319923457889969,-0.0755854785528268,-0.274647351434623
227,17.096630234428,52.3818824100727,3.32260366021035,0.0561527779038151,-0.0601808253628349,-0.238925769712345,0.000705874260658476,-0.0608728452510294,-0.0574834701860496,-0.000315998271714427,-0.0846176442395681,-0.290679897422933
242,17.0613004642916,52.3831069096945,3.09384403328761,0.11031729576424,0.0163772702443907,-0.211192446745905,0.000723047203677614,-0.0636060398580067,-0.0674509630467099,-0.000328492108657381,0.200163556513731,-0.168516261567675
243,17.0642381215049,52.3831550711667,3.13756483995985,0.104144839803823,0.00589381591612437,-0.213055698003963,0.000722095293439876,-0.0638296363453748,-0.0691604443795484,-0.000328014450575807,0.158805643496236,-0.185137896496371
247,17.0759888357251,52.3833469872822,3.24336569493857,0.0818575301000433,-0.0197016638337004,-0.223301833689831,0.000715487893787295,-0.0638688434865786,-0.0708749810555531,-0.000328117149760707,0.0309409170840546,-0.222743013110517
248,17.0789265354557,52.3833947840226,3.25264472766389,0.0770806507870319,-0.0238814222208532,-0.226669578128778,0.000714027910183893,-0.0637064451925582,-0.0697044479745657,-0.000329076246333534,0.00777589283426905,-0.225241832555525
249,17.081864242381,52.3834425073911,3.26542888437007,0.0726632165808176,-0.0280605553582802,-0.229614521925669,0.000712276408221489,-0.0635365875604688,-0.068767028863391,-0.00032901222462952,-0.0113455261182218,-0.2305659948222
269,17.061221693185,52.3849044930342,3.22108805599146,0.105889882525148,0.0244079191562889,-0.208991183035067,0.000714219429978388,-0.066768717470457,-0.0854176715939836,-0.000325836647247883,0.206636491787091,-0.193693872863491
271,17.0670972556082,52.3850007492606,3.25039101963694,0.0933673495484406,0.010520722492231,-0.216199184704926,0.000713117458434769,-0.0667278728038072,-0.0844159565491083,-0.000331842799411251,0.120506638855575,-0.196517424068247
275,17.0788484797,52.3851923856758,3.33641935389335,0.0738434870482401,-0.0108119372869453,-0.225596163563317,0.000705054020718167,-0.0660435008762175,-0.0840530327768718,-0.000328175750423251,0.0201036780744719,-0.234390430893086
276,17.0817863066091,52.3852401123269,3.33659886452085,0.0696233950914706,-0.0147156069195944,-0.229220304218117,0.000703890612147651,-0.0657432475991424,-0.0819607275926728,-0.000329653750405438,0.00018372409137779,-0.233856542372564
277,17.0847241415218,52.3852877660773,3.34969865880498,0.0656885641249172,-0.0186434750630724,-0.231731939604849,0.000701864469029236,-0.065497005210303,-0.0810033075030674,-0.000328725417141448,-0.0155164586072027,-0.240936556575434
280,17.0935376946458,52.3854302895194,3.42567170091036,0.0547372165868172,-0.0279144015664201,-0.235746582443561,0.000692016759658902,-0.0649569842535245,-0.0820070181775705,-0.000318969736817144,-0.0495405842398791,-0.282606538343316
281,17.0964755627199,52.385477651107,3.44691487301816,0.0513511887734825,-0.0311234893675589,-0.237268389717315,0.000688725247828217,-0.0648175569551857,-0.082005387506868,-0.000316662314360887,-0.0589633491014174,-0.293996811461852
298,17.0640808111631,52.3867502433121,3.34015748231161,0.0949654615965052,0.0271722507098957,-0.212234398907722,0.00070540350074811,-0.0697827701635356,-0.101282378836299,-0.00033056598774827,0.163505892819919,-0.206842807655903
300,17.0699566289154,52.3868463597075,3.36303828568441,0.0841928764206195,0.0151308512547246,-0.218540488775936,0.000703136788625165,-0.0692516115833719,-0.099281593472508,-0.000332849666142263,0.0971332156840528,-0.213987977125612
303,17.0787704158605,52.3869899869034,3.40291661912011,0.0707054171580737,0.00128750010972567,-0.226231782296992,0.000697398385328514,-0.0683071329851783,-0.096620729698067,-0.000330875730801795,0.0295651832828545,-0.234259492370484
313,17.1081502423601,52.3874640000387,3.55217900078628,0.0372452028803885,-0.0424809787231197,-0.245570930172399,0.000668975097617791,-0.0666167627860146,-0.0890956907499785,-0.000320706164236247,-0.0750824940731141,-0.315432813129178
317,17.1199024002987,52.3876515614655,3.72053566407988,0.0255313175364762,-0.0505569738356826,-0.243397404308745,0.000643060872179697,-0.0668730999837761,-0.0991060204964427,-0.000300718191401685,-0.088798814326168,-0.400573416126122
318,17.1228404604196,52.3876982695936,3.75728210040597,0.0229453356421274,-0.0543994573360465,-0.243308018097814,0.000637000168792132,-0.0669535971647548,-0.1008477685738,-0.000297445122079382,-0.0915015409821844,-0.419153921296356
326,17.0640021430529,52.388547828277,3.41117701473911,0.090124899268389,0.0378157719396199,-0.214537156287538,0.000698262123401246,-0.072553986928714,-0.114946194374376,-0.000337983715415213,0.158359657384936,-0.200334727737527
327,17.0669401673641,52.388595926138,3.43271040494687,0.0852682554497193,0.0311459162336121,-0.216582388593359,0.000696658835635085,-0.0722266476914308,-0.114563628201534,-0.000336414050351959,0.130115442477408,-0.211665519358121
328,17.0698781989892,52.3886439510983,3.43338619268695,0.0803575937111169,0.0258074534071113,-0.220054408452718,0.000695694439350941,-0.0717488878859323,-0.112464631894795,-0.000337761840380563,0.100852860716393,-0.211911845880309
329,17.0728162392425,52.3886919027577,3.44349971536872,0.0758988318984812,0.0207770505200529,-0.222667510936088,0.000694050191678723,-0.0713269556958069,-0.111144318088371,-0.000337122455369036,0.0771830755355465,-0.218069711807175
330,17.0757542877884,52.388739781735,3.43945869782192,0.0716205602575926,0.0163386541017303,-0.226232072790587,0.000692985610793478,-0.0708188097165836,-0.108591420672614,-0.00033847615259458,0.0541634028783839,-0.216945941427184
341,17.1080733625654,52.3892616310969,3.5965138444858,0.0355598816935316,-0.0337214267104002,-0.246460091660069,0.000662241209046857,-0.0684509770303148,-0.0986837106102882,-0.000325370895416524,-0.0633350297916238,-0.309684514722676
345,17.1198259975854,52.3894492047421,3.76328787787008,0.0240947504455864,-0.0407547014160059,-0.244084880442706,0.000636493125838612,-0.0686592374571005,-0.108093233902942,-0.000304855151232235,-0.0765047394031964,-0.395931547394412
346,17.1227641766271,52.3894959154755,3.80648112560607,0.0215450176598875,-0.0433760212633842,-0.243469667487432,0.000629918026569108,-0.0687114107828473,-0.110390842999195,-0.000299999124672642,-0.0790999680840763,-0.418926145413366
353,17.0609853325303,52.3902972388184,3.47866820773424,0.0905972838031985,0.0535958015402116,-0.213852832781626,0.000691698230960207,-0.0757662538000119,-0.130529535795896,-0.000344919645993355,0.186637808216352,-0.192335782591158
357,17.0727379209468,52.3904894965791,3.51032917495775,0.0726357830046318,0.0302555395285822,-0.224270892431797,0.000686810967861363,-0.0736343515109299,-0.123708324413425,-0.000341897602392956,0.0832060523828044,-0.216738886661005
362,17.0874288414964,52.3907281759761,3.57571949959265,0.0546010936029653,0.0118862321596964,-0.233522766811856,0.000675195553798039,-0.0715173003457679,-0.118147263013235,-0.000330480613650791,0.00696743599541527,-0.264797506082687
363,17.0903670509177,52.390775693055,3.5907232473819,0.0513302271709222,0.00871740570343604,-0.23511970317098,0.000672373682026668,-0.0712055078512321,-0.117325913022285,-0.000328194620387946,-0.0041315169168481,-0.274878743099066
373,17.1197495868062,52.3912468476369,3.80699133483142,0.0227893372313197,-0.0315163088624786,-0.244893589175263,0.000630111345392294,-0.0703855721609985,-0.117015572441652,-0.000308803260786347,-0.0646470480057637,-0.392724001293232
374,17.1226878849762,52.3912935613013,3.82672179414726,0.0204712655164201,-0.0376085363619154,-0.245848434334093,0.000625370525367208,-0.0704139511433519,-0.116722341013038,-0.000308551726221053,-0.0675792175547034,-0.402751927315762
380,17.160953770345,52.3921117839725,4.16733637485015,-0.00396698832269671,-0.118637161883299,-0.251286210301984,0.000555783729238174,-0.0714248412459391,-0.120102415154506,-0.000299937972586935,-0.0811698185520626,-0.583757075114818
390,17.0638447831222,52.3921429966768,3.56979346575031,0.0819024225274276,0.0543300315532065,-0.218143179656224,0.000683217922835655,-0.0778447734953094,-0.143141799518302,-0.000349803559912425,0.157625847818207,-0.201218319874329
391,17.0667830452509,52.3921911005717,3.57655901072417,0.0776740980645734,0.048572481787204,-0.220502129501572,0.000682035500312435,-0.0772024993045033,-0.141149329780163,-0.000348233877144367,0.133445564360047,-0.208458060708381
393,17.0726595941084,52.3922870897195,3.57514945344951,0.0695945743450856,0.0385678054708194,-0.226131689886991,0.000679836525152896,-0.0758484051115058,-0.135920426262764,-0.000347034176927802,0.0890336218685324,-0.215404624755024
394,17.0755978811605,52.3923349745583,3.57922102263592,0.0658912571557728,0.034224588452048,-0.228490733444325,0.000678253615191637,-0.0752534563930105,-0.133798613680934,-0.00034558443301274,0.0707552040356276,-0.221441516826303
398,17.0873511113203,52.3925257845699,3.64411776623479,0.0524203555012797,0.0213052270856053,-0.233992834784569,0.000667706255885352,-0.0735632595363951,-0.130254816624742,-0.000332640685152437,0.0181289707775338,-0.269689139154252
417,17.1608117387563,52.3936918826537,4.18242091215541,-0.00372149002443756,-0.109100457175174,-0.252433102558371,0.000552371192166973,-0.0723995780799829,-0.124651485370947,-0.000302547398551272,-0.0729371021405001,-0.577284146645979
425,17.0576829444577,52.3931698060176,3.59793685199384,0.0880779027694629,0.0721153863090365,-0.215432102062021,0.000680766364986922,-0.0808678484329803,-0.155560536237836,-0.000359158062099449,0.208057094553305,-0.181397120426368
426,17.0615428369694,52.3937445618869,3.63680530494366,0.0816118138655746,0.0649453695916122,-0.21827222752507,0.000677268412388181,-0.0806702151154948,-0.15740803055791,-0.000356782413370137,0.176202744036799,-0.196768163864363
427,17.0637660899598,52.3939405798232,3.64062718221521,0.0781611389644787,0.0610077212335796,-0.220602851745884,0.000676209685822562,-0.0802387498800812,-0.156219619845121,-0.0003565705351221,0.157337678230117,-0.199511987157848
429,17.06974786552,52.3939769504912,3.64439987234016,0.0704546157910357,0.0502604416702752,-0.225134159505021,0.000674056444481833,-0.0786684663008135,-0.150781168394829,-0.000352350392896356,0.114292732193151,-0.213490710112296
430,17.0724823010304,52.3939504224829,3.6361126774492,0.0671104603489106,0.0455689937576267,-0.227748471841402,0.000673500579964501,-0.0778624987511627,-0.147272089724179,-0.000351620462704975,0.0953241043744715,-0.21542871391955
431,17.0755145887205,52.3937454096112,3.63016672207038,0.0638717120093943,0.0402197091086691,-0.229753669535331,0.00067288479738168,-0.0769014563608632,-0.143196010180301,-0.000349043652530669,0.0766830385154744,-0.222078155914119
453,17.1577983415749,52.3954437949353,4.17076110708956,-0.00195989511491312,-0.0930989782515326,-0.253887836824411,0.000553788167868788,-0.0734419234336574,-0.12943818418254,-0.000307131706224172,-0.0633828992615619,-0.553233858041153
454,17.1607369817689,52.3954895659066,4.19005872285379,-0.00334471326621255,-0.100131937275791,-0.254454686456647,0.000549314553542804,-0.0734643609395746,-0.128832911856378,-0.000307377639079058,-0.0639435456735118,-0.564763424323132
455,17.1636756301387,52.3955352634586,4.21542758271073,-0.00472603968490759,-0.106449683707439,-0.254646766263917,0.000544458795129363,-0.0734863102014396,-0.128785175022315,-0.000306495439592793,-0.064435707932029,-0.57998419463047
459,17.061984947179,52.3952642950899,3.68457848619823,0.0776339977123186,0.0685438965926721,-0.221802850333908,0.000671992825548327,-0.0823551918374719,-0.166717907094746,-0.000364021730658498,0.168700518465679,-0.19086919927895
460,17.0635662599236,52.3955092195845,3.69894739331107,0.0752737814834141,0.0662561112577009,-0.222872399105803,0.00067040700835283,-0.0822313291639141,-0.167268595750981,-0.000362694918979861,0.158257362770877,-0.197336171444817
461,17.0657055168131,52.3950701902431,3.68539263669913,0.0735178386450812,0.0610633587948826,-0.223511726754339,0.000671262325544549,-0.081101286223392,-0.162322893998263,-0.000358809502062796,0.143700915320242,-0.204324440071787
462,17.0699886322023,52.3950659488169,3.67858399245824,0.0683043261043856,0.0536356501531259,-0.227048625452252,0.000670159039251252,-0.079825401515496,-0.157327403573063,-0.000356246233625616,0.114237877298555,-0.211237494058423
463,17.0711290101939,52.3949728857574,3.67925030001777,0.0671467655276743,0.0516142748859636,-0.227454043570692,0.000669833685062342,-0.0794556155081825,-0.15596900456098,-0.000354502848735491,0.107578241883749,-0.215841243092768
